Job 0, 19, 3
0, mul, C, C, 12
1, _rd, C, A, 14
2, mul, A, B, 14
3, mul, B, D, 7
4, add, B, B, 14
5, add, A, D, 7
6, err, B, B, 11
7, _wr, A, A, 9
8, div, C, B, 9
9, _wt, C, C, 12
10, sto, D, C, 11
11, _wr, D, B, 9
12, nul, C, A, 5
13, rcl, A, C, 13
14, _wt, D, D, 9
15, err, A, D, 14
16, err, D, D, 9
17, stp, A, D, 11
18, nul, B, A, 10
Job 1, 10, 4
0, add, A, D, 12
1, div, C, B, 12
2, rcl, A, D, 12
3, sub, B, A, 13
4, _wr, A, A, 10
5, _wr, C, B, 14
6, err, A, B, 8
7, rcl, B, C, 10
8, _wt, B, B, 8
9, _rd, C, C, 6
Job 2, 10, 6
0, mul, A, A, 14
1, sto, A, A, 8
2, sub, C, A, 8
3, mul, A, B, 7
4, div, B, A, 7
5, err, B, C, 6
6, err, A, A, 6
7, _wt, A, C, 10
8, _rd, C, C, 9
9, err, D, B, 11
Job 3, 20, 7
0, err, C, D, 14
1, _wr, C, D, 8
2, _wt, C, B, 6
3, sub, D, C, 7
4, add, D, A, 11
5, add, A, D, 5
6, sub, C, C, 10
7, mul, A, C, 10
8, mul, A, C, 13
9, err, D, D, 13
10, rcl, D, B, 5
11, div, D, D, 10
12, rcl, C, A, 10
13, add, D, D, 8
14, stp, A, A, 13
15, sub, D, D, 13
16, _rd, C, B, 6
17, mul, C, A, 7
18, div, B, A, 10
19, div, B, D, 12
Job 4, 17, 2
0, _wt, B, B, 8
1, _wr, A, D, 10
2, _wt, B, C, 6
3, _wt, A, B, 9
4, _wr, A, A, 8
5, nul, D, B, 13
6, sto, B, C, 6
7, sub, D, A, 11
8, _wr, C, A, 10
9, div, D, B, 7
10, add, B, D, 8
11, _wt, A, C, 9
12, rcl, B, C, 8
13, nul, A, B, 8
14, _rd, B, B, 14
15, err, C, B, 8
16, nul, D, C, 7
Job 5, 11, 6
0, _wr, C, D, 10
1, _wr, D, B, 12
2, nul, B, D, 5
3, stp, C, D, 10
4, _rd, B, A, 8
5, sub, B, C, 14
6, nul, D, D, 14
7, nul, C, A, 10
8, nul, D, C, 12
9, sub, A, D, 13
10, _wt, A, B, 10
Job 6, 29, 5
0, _wt, B, D, 5
1, sto, A, D, 5
2, rcl, C, B, 10
3, _rd, C, B, 7
4, div, C, C, 12
5, sub, D, C, 7
6, mul, A, B, 14
7, rcl, D, A, 10
8, mul, A, B, 10
9, sub, B, C, 14
10, add, B, B, 6
11, stp, B, D, 10
12, rcl, A, C, 11
13, add, C, D, 13
14, err, D, A, 7
15, sub, B, A, 12
16, sub, D, B, 9
17, mul, A, D, 6
18, _rd, D, B, 12
19, sto, A, B, 12
20, _wt, D, D, 6
21, sto, D, C, 7
22, rcl, C, C, 7
23, sub, D, B, 6
24, mul, A, B, 14
25, add, B, B, 12
26, _wt, B, A, 9
27, sub, D, C, 10
28, stp, D, A, 10
Job 7, 12, 9
0, _wr, C, D, 8
1, _wt, D, C, 8
2, nul, B, C, 13
3, add, B, B, 7
4, rcl, C, B, 12
5, mul, B, B, 13
6, stp, D, A, 12
7, mul, C, D, 12
8, _wt, B, A, 11
9, rcl, D, A, 11
10, err, B, C, 13
11, nul, D, A, 5
Job 8, 16, 3
0, sto, C, D, 10
1, nul, B, C, 12
2, sto, C, D, 6
3, nul, C, D, 10
4, rcl, A, B, 8
5, nul, B, B, 5
6, rcl, D, C, 10
7, _rd, B, B, 10
8, div, C, B, 10
9, div, B, B, 6
10, rcl, A, A, 8
11, rcl, D, D, 12
12, err, C, A, 11
13, stp, B, C, 5
14, mul, B, B, 7
15, mul, A, D, 14
Job 9, 16, 4
0, nul, D, B, 9
1, sto, B, A, 7
2, stp, C, D, 11
3, _rd, C, A, 14
4, sub, D, C, 11
5, stp, A, C, 11
6, stp, B, A, 6
7, _wt, B, C, 5
8, add, B, B, 13
9, _wr, D, D, 11
10, stp, D, B, 12
11, stp, A, C, 9
12, err, D, D, 12
13, nul, D, A, 5
14, rcl, B, D, 13
15, add, C, A, 14
Job 10, 28, 1
0, div, B, B, 8
1, add, D, C, 10
2, add, A, B, 10
3, add, C, A, 10
4, err, A, D, 6
5, div, D, D, 11
6, _rd, A, D, 13
7, add, A, D, 6
8, sto, A, A, 5
9, _rd, C, C, 9
10, _wt, A, B, 10
11, err, D, B, 13
12, err, D, A, 10
13, stp, B, C, 5
14, _rd, B, C, 14
15, _rd, C, A, 9
16, err, C, A, 8
17, _wt, C, C, 8
18, _wt, B, A, 10
19, _wr, D, A, 14
20, div, B, D, 9
21, rcl, A, B, 13
22, div, D, B, 8
23, sto, B, D, 14
24, _wr, D, A, 7
25, sub, B, C, 9
26, stp, C, B, 7
27, sub, B, B, 12
Job 11, 15, 10
0, sub, B, A, 5
1, _wr, D, A, 9
2, err, B, B, 6
3, sub, A, D, 8
4, sub, D, D, 12
5, rcl, B, C, 6
6, mul, D, C, 6
7, nul, A, D, 5
8, sub, C, B, 11
9, nul, C, C, 10
10, err, C, D, 7
11, sub, C, A, 5
12, _rd, A, D, 8
13, rcl, B, B, 8
14, _rd, B, D, 7
Job 12, 21, 4
0, _wt, C, A, 14
